datetime;value
06/10/2016 14:06:26;0.0
06/10/2016 14:06:27;0.0
06/10/2016 14:06:28;0.0
06/10/2016 14:06:29;0.53
06/10/2016 14:06:30;5.6
06/10/2016 14:06:31;16.03
06/10/2016 14:06:32;29.31
06/10/2016 14:06:34;54.43
06/10/2016 14:06:35;63.54
06/10/2016 14:06:36;70.0
06/10/2016 14:06:37;70.25
06/10/2016 14:06:38;83.56
06/10/2016 14:06:39;85.47
06/10/2016 14:06:43;103.82
06/10/2016 14:06:44;109.07
06/10/2016 14:06:45;117.48
06/10/2016 14:06:46;127.61
06/10/2016 14:06:47;139.99
06/10/2016 14:06:48;153.85
06/10/2016 14:06:50;178.14
06/10/2016 14:06:51;186.78
06/10/2016 14:06:52;192.75
06/10/2016 14:06:53;197.11
06/10/2016 14:06:54;200.42
06/10/2016 14:06:55;202.38
06/10/2016 14:06:56;203.77
06/10/2016 14:06:57;204.92
06/10/2016 14:06:58;205.61
06/10/2016 14:06:59;206.11
06/10/2016 14:07:00;206.32
06/10/2016 14:07:01;206.03
06/10/2016 14:07:02;206.6
06/10/2016 14:07:03;206.87
06/10/2016 14:07:04;207.03
06/10/2016 14:07:05;207.22
06/10/2016 14:07:06;206.98
06/10/2016 14:07:07;206.84
06/10/2016 14:07:08;207.16
06/10/2016 14:07:09;207.03
06/10/2016 14:07:11;207.91
06/10/2016 14:07:12;208.0
06/10/2016 14:07:13;208.02
06/10/2016 14:07:14;207.84
06/10/2016 14:07:15;207.66
06/10/2016 14:07:16;207.62
06/10/2016 14:07:17;207.65
06/10/2016 14:07:18;208.0
06/10/2016 14:07:19;207.74
06/10/2016 14:07:20;207.57
06/10/2016 14:07:21;207.32
06/10/2016 14:07:22;207.21
06/10/2016 14:07:23;206.98
06/10/2016 14:07:24;206.99
06/10/2016 14:07:25;207.07
06/10/2016 14:07:26;207.19
06/10/2016 14:07:27;207.19
06/10/2016 14:07:28;207.3
06/10/2016 14:07:29;207.8
06/10/2016 14:07:30;207.53
06/10/2016 14:07:31;207.73
06/10/2016 14:07:34;207.39
06/10/2016 14:07:37;207.09
06/10/2016 14:07:38;206.87
06/10/2016 14:07:39;206.78
06/10/2016 14:07:40;206.81
06/10/2016 14:07:41;206.73
06/10/2016 14:07:42;206.51
06/10/2016 14:07:43;206.44
06/10/2016 14:07:45;207.01
06/10/2016 14:07:46;207.24
06/10/2016 14:07:48;207.38
06/10/2016 14:07:49;207.25
06/10/2016 14:07:50;207.4
06/10/2016 14:07:51;207.53
06/10/2016 14:07:52;207.57
06/10/2016 14:07:53;207.58
06/10/2016 14:07:54;207.82
06/10/2016 14:07:55;207.89
06/10/2016 14:07:56;207.6
06/10/2016 14:07:57;207.88
06/10/2016 14:07:58;207.99
