like1,pars_r,parr_p3,parr_p7,parr_px,parc_m1,parc_w1,chain
1.69,0.04553,0.02617,0.00562,0.005127,0.3574,8.83,1.0
1.393,0.02141,0.01845,0.03087,0.00984,0.10315,7.293,1.0
0.869,0.04617,0.03452,0.0322,0.02473,0.2352,6.957,1.0
1.157,0.01746,0.04782,0.033,0.02106,0.3618,7.793,1.0
0.4407,0.04587,0.03583,0.03134,0.02635,0.831,1.778,1.0
0.3574,0.01158,0.01262,0.0449,0.04602,0.117,7.96,1.0
1.46,0.04486,0.0419,0.012634,0.01689,0.8867,6.19,1.0
0.6147,0.04178,0.01262,0.03912,0.02753,0.06757,9.05,1.0
1.571,0.03934,0.0459,0.03265,0.01161,0.5327,7.934,1.0
0.406,0.02664,0.01657,0.03125,0.04965,0.619,9.195,1.0
0.9985,0.01004,0.02017,0.04675,0.01854,0.3318,9.83,1.0
0.6523,0.04706,0.0474,0.01695,0.04755,0.3135,9.05,1.0
0.822,0.03952,0.04306,0.01129,0.036,0.09204,8.695,1.0
0.5957,0.006718,0.01956,0.007935,0.0461,0.0965,5.254,1.0
0.6743,0.01524,0.04346,0.01541,0.04755,0.9253,8.03,1.0
0.6177,0.0188,0.01875,0.009705,0.04205,0.965,6.562,1.0
1.278,0.02106,0.02524,0.0454,0.012276,0.02254,4.81,1.0
1.097,0.007694,0.05,0.0125,0.02588,0.089,5.043,1.0
1.018,0.04047,0.0419,0.00984,0.03021,0.8516,9.97,1.0
0.3606,0.02896,0.01275,0.02994,0.0471,0.883,8.6,1.0
1.333,0.0313,0.01906,0.04132,0.0082,0.4604,5.887,1.0
1.621,0.03946,0.04865,0.03023,0.00799,0.538,7.055,1.0
1.312,0.0339,0.0392,0.01567,0.01807,0.5293,5.1,1.0
0.551,0.02718,0.02774,0.037,0.04156,0.1262,5.7,1.0
1.677,0.0167,0.0494,0.00612,0.01491,0.5957,5.453,1.0
0.533,0.01662,0.02882,0.0325,0.03143,0.9746,2.848,1.0
0.846,0.0198,0.02191,0.02101,0.0229,0.6772,5.234,1.0
0.4614,0.04514,0.01309,0.03748,0.0358,0.286,8.56,1.0
0.507,0.035,0.006367,0.03943,0.042,0.5806,4.78,1.0
0.3054,0.04425,0.009186,0.0457,0.04227,0.6396,3.393,1.0
0.794,0.03296,0.03488,0.0351,0.02832,0.8457,7.996,1.0
0.57,0.01459,0.01411,0.0384,0.03047,0.5225,5.797,1.0
0.983,0.02011,0.0489,0.01455,0.03122,0.817,8.9,1.0
0.948,0.03455,0.0456,0.00788,0.02748,0.8496,3.998,1.0
0.7246,0.02518,0.0469,0.01247,0.04282,0.4897,7.8,1.0
0.4175,0.0292,0.01114,0.04404,0.03656,0.1844,7.246,1.0
0.6675,0.04575,0.03925,0.01146,0.04187,0.1901,6.684,1.0
0.507,0.0407,0.007282,0.04013,0.02731,0.696,5.52,1.0
0.9,0.0453,0.0282,0.03372,0.02211,0.577,6.617,1.0
0.5244,0.01397,0.02264,0.03766,0.04495,0.5083,7.34,1.0
0.653,0.014595,0.005207,0.02765,0.03555,0.3015,9.93,1.0
1.184,0.0442,0.0443,0.0299,0.018,0.8784,5.74,1.0
0.1453,0.02371,0.04465,0.0276,0.02258,0.3433,0.502,1.0
0.3347,0.01014,0.02786,0.02403,0.01955,0.922,0.5337,1.0
0.831,0.03946,0.005142,0.02928,0.01637,0.4683,1.756,1.0
0.2017,0.01402,0.03415,0.02704,0.04883,0.909,0.4758,1.0
0.1298,0.01616,0.046,0.01677,0.03003,0.9707,0.682,1.0
0.7646,0.006268,0.03702,0.02144,0.0297,0.06726,4.406,1.0
1.353,0.03943,0.04935,0.02328,0.008934,0.2006,2.818,1.0
1.579,0.014824,0.04092,0.0451,0.00979,0.9575,8.31,1.0
1.161,0.04495,0.03857,0.006935,0.02626,0.997,8.83,1.0
0.4812,0.01622,0.00828,0.02602,0.0313,0.4604,2.791,1.0
0.6567,0.03693,0.01964,0.03995,0.02818,0.0166,4.36,1.0
0.732,0.04352,0.006245,0.04712,0.01209,0.06396,4.84,1.0
0.3936,0.009995,0.011635,0.02269,0.01886,0.7544,0.1528,1.0
0.4915,0.01672,0.02364,0.03763,0.01365,0.9507,0.5327,1.0
0.9395,0.03183,0.01099,0.02597,0.01195,0.6665,4.625,1.0
0.592,0.03943,0.006126,0.04382,0.02544,0.753,5.363,1.0
0.62,0.0373,0.02989,0.01852,0.0486,0.145,9.734,1.0
0.352,0.01901,0.01566,0.008575,0.0371,0.6924,1.462,1.0
0.659,0.02983,0.0228,0.04587,0.02264,0.595,3.422,1.0
0.4832,0.03397,0.00967,0.04144,0.02995,0.9336,7.082,1.0
0.9805,0.012474,0.03638,0.03485,0.02332,0.4954,7.047,1.0
0.1404,0.02414,0.03757,0.00539,0.0486,0.657,0.0934,1.0
0.751,0.01808,0.0385,0.01545,0.0391,0.314,8.41,1.0
0.3992,0.005238,0.01848,0.019,0.03152,0.0965,1.535,1.0
0.4817,0.03354,0.006683,0.0431,0.0406,0.1753,9.28,1.0
0.6646,0.01215,0.02022,0.01284,0.03857,0.82,7.246,1.0
0.3252,0.03162,0.04388,0.04892,0.04605,0.802,1.556,1.0
1.014,0.0482,0.01929,0.04803,0.00783,0.555,2.742,1.0
0.3525,0.0369,0.04852,0.04657,0.04977,0.982,2.234,1.0
0.6934,0.01489,0.01338,0.02025,0.02509,0.6387,6.344,1.0
0.649,0.006218,0.0394,0.0446,0.0308,0.628,4.152,1.0
1.588,0.00991,0.03696,0.03564,0.00937,0.0755,6.758,1.0
0.1913,0.02298,0.012344,0.04782,0.04752,0.709,1.352,1.0
1.137,0.02611,0.0477,0.01508,0.02303,0.5293,5.203,1.0
0.316,0.0345,0.01424,0.01697,0.04007,0.1017,1.6045,1.0
0.616,0.04608,0.04376,0.02383,0.01984,0.1354,1.526,1.0
0.668,0.02707,0.0364,0.01308,0.04623,0.8516,7.973,1.0
0.3352,0.00989,0.0145,0.04306,0.0321,0.651,1.179,1.0
1.064,0.03876,0.04254,0.01233,0.02782,0.115,8.734,1.0
1.245,0.02153,0.01291,0.0095,0.01157,0.9556,6.594,1.0
0.6357,0.0444,0.02505,0.0343,0.037,0.933,9.39,1.0
0.741,0.01382,0.04724,0.0465,0.0337,0.243,8.82,1.0
0.7397,0.01852,0.02792,0.013245,0.03363,0.9927,6.55,1.0
0.835,0.04974,0.02423,0.0446,0.02264,0.10236,9.86,1.0
0.4868,0.0431,0.00617,0.02567,0.04752,0.1458,2.107,1.0
0.328,0.0214,0.010086,0.01561,0.03622,0.883,0.1041,1.0
0.8535,0.04144,0.04453,0.01636,0.0308,0.6206,6.695,1.0
1.099,0.02315,0.02005,0.04648,0.01446,0.2876,6.15,1.0
0.5903,0.02309,0.0453,0.0424,0.03555,0.8027,4.33,1.0
1.52,0.03027,0.04547,0.04718,0.005447,0.042,8.06,1.0
0.5693,0.006012,0.02658,0.02916,0.0418,0.4277,5.297,1.0
0.4788,0.006653,0.01251,0.01187,0.03592,0.078,2.09,1.0
0.522,0.01311,0.01473,0.02147,0.04242,0.9165,8.54,1.0
1.578,0.03143,0.04218,0.011955,0.00577,0.3835,4.03,1.0
0.6465,0.03293,0.036,0.02715,0.0318,0.04416,4.555,1.0
0.646,0.0393,0.010826,0.01012,0.028,0.163,6.6,1.0
0.9473,0.0182,0.0411,0.034,0.01052,0.3872,1.419,1.0
0.417,0.02065,0.04755,0.0318,0.03333,0.7,1.987,1.0
0.4783,0.0447,0.04953,0.02657,0.04257,0.1632,3.535,1.0
1.422,0.01345,0.03986,0.0477,0.014046,0.5547,9.914,1.0
1.835,0.00528,0.04602,0.0094,0.00934,0.4912,6.703,1.0
1.046,0.02858,0.006565,0.011055,0.01101,0.4714,0.6235,1.0
0.3123,0.03046,0.013214,0.03662,0.02568,0.4243,0.3943,1.0
0.6846,0.02234,0.04013,0.03152,0.04095,0.4485,9.54,1.0
0.4006,0.02794,0.015526,0.04083,0.04538,0.9795,8.86,1.0
1.02,0.03128,0.04428,0.03008,0.01613,0.0606,3.178,1.0
0.851,0.03705,0.0247,0.01682,0.0263,0.885,7.54,1.0
0.4524,0.01356,0.0278,0.04968,0.03723,0.826,2.326,1.0
0.748,0.0447,0.02618,0.007324,0.03348,0.567,8.64,1.0
0.4846,0.04797,0.00947,0.02887,0.02908,0.4268,4.88,1.0
0.9946,0.0316,0.02025,0.04504,0.00609,0.4058,2.48,1.0
0.532,0.02603,0.00884,0.02477,0.0294,0.7466,7.402,1.0
0.538,0.04294,0.01488,0.0367,0.03363,0.592,8.914,1.0
0.502,0.0377,0.02574,0.04315,0.03967,0.5347,4.3,1.0
0.434,0.04126,0.02078,0.0291,0.04382,0.582,4.402,1.0
0.4377,0.014915,0.00697,0.02608,0.0485,0.597,0.825,1.0
1.217,0.03857,0.03683,0.04468,0.01361,0.5664,4.895,1.0
0.615,0.01506,0.007484,0.00886,0.0363,0.5195,0.2507,1.0
0.8647,0.0431,0.02597,0.01996,0.00709,0.1644,1.052,1.0
1.3955,0.028,0.02896,0.04324,0.01283,0.7188,8.56,1.0
0.925,0.00813,0.04483,0.02682,0.02347,0.2458,3.959,1.0
0.4482,0.017,0.03937,0.02852,0.0473,0.87,3.324,1.0
0.4539,0.01991,0.02567,0.0459,0.04532,0.01729,3.459,1.0
0.546,0.02547,0.02258,0.01985,0.0467,0.844,6.473,1.0
0.4211,0.01898,0.00716,0.0363,0.03867,0.965,2.992,1.0
1.43,0.02594,0.04852,0.02684,0.01427,0.871,5.555,1.0
0.4521,0.01531,0.01562,0.03702,0.04367,0.6367,9.016,1.0
0.726,0.03632,0.03873,0.02367,0.03137,0.1505,5.707,1.0
0.6387,0.00625,0.03041,0.02393,0.03943,0.9414,5.793,1.0
0.524,0.00649,0.04926,0.0067,0.0373,0.2612,2.531,1.0
0.6333,0.02586,0.04297,0.04333,0.0309,0.559,4.375,1.0
0.529,0.04868,0.006485,0.01229,0.04895,0.972,6.023,1.0
0.3926,0.0363,0.01901,0.0337,0.02655,0.13,1.37,1.0
0.574,0.04718,0.02324,0.01976,0.032,0.8423,4.074,1.0
1.643,0.02133,0.03418,0.01175,0.008095,0.2375,4.35,1.0
0.67,0.01999,0.0322,0.03693,0.03958,0.8228,9.36,1.0
0.539,0.01064,0.01098,0.04422,0.03,0.4485,7.58,1.0
0.34,0.005657,0.03134,0.0355,0.04782,0.6143,2.031,1.0
0.4434,0.0352,0.01674,0.02818,0.01923,0.536,1.142,1.0
0.81,0.0161,0.00723,0.03366,0.01208,0.754,0.6406,1.0
0.985,0.02925,0.006763,0.005703,0.00573,0.2163,6.746,1.0
1.058,0.01727,0.02736,0.03162,0.0211,0.1709,9.12,1.0
1.162,0.01833,0.02347,0.01095,0.01805,0.1564,3.926,1.0
0.488,0.0493,0.010635,0.005573,0.0421,0.5337,2.26,1.0
0.836,0.02075,0.007656,0.00516,0.02045,0.128,5.19,1.0
0.7085,0.03168,0.042,0.0456,0.02219,0.884,3.037,1.0
0.4775,0.03836,0.04538,0.0487,0.0317,0.1091,2.367,1.0
1.181,0.04095,0.01196,0.01291,0.00942,0.974,8.61,1.0
0.506,0.03366,0.04395,0.03723,0.04544,0.5137,4.453,1.0
1.241,0.00913,0.03442,0.02742,0.00708,0.001033,2.164,1.0
0.4294,0.0272,0.0471,0.02614,0.04724,0.1072,3.086,1.0
0.7285,0.02179,0.015236,0.04727,0.02339,0.146,8.38,1.0
0.6025,0.0207,0.015045,0.01904,0.0348,0.6772,7.555,1.0
0.876,0.0183,0.00616,0.01602,0.015495,0.05136,8.39,1.0
0.6865,0.02867,0.03238,0.0447,0.03146,0.04614,6.39,1.0
0.566,0.02649,0.02176,0.00614,0.03436,0.464,3.95,1.0
0.5576,0.0404,0.0383,0.04697,0.03552,0.4045,3.916,1.0
0.4033,0.04178,0.01022,0.009636,0.04086,0.4197,1.0,1.0
0.753,0.00743,0.04742,0.02237,0.036,0.6685,6.656,1.0
0.788,0.04337,0.005764,0.0355,0.01512,0.9224,7.902,1.0
0.7236,0.01228,0.0416,0.012,0.04578,0.2189,8.66,1.0
1.135,0.03207,0.02298,0.02722,0.0159,0.3972,4.785,1.0
1.625,0.0495,0.02495,0.01516,0.00611,0.02869,9.75,1.0
0.2866,0.04114,0.04843,0.02129,0.0324,0.0696,1.336,1.0
0.5425,0.02786,0.011086,0.0145,0.03546,0.7754,5.86,1.0
0.558,0.04175,0.04352,0.01869,0.03104,0.4905,2.803,1.0
0.559,0.011795,0.03065,0.03333,0.0436,0.653,5.52,1.0
0.752,0.0474,0.03168,0.00941,0.03366,0.3577,6.85,1.0
1.375,0.014885,0.02252,0.04764,0.014496,0.005165,7.043,1.0
0.6587,0.005726,0.04968,0.0329,0.0428,0.4138,7.164,1.0
1.279,0.0341,0.01773,0.02104,0.00574,0.2323,4.445,1.0
0.7725,0.0491,0.0314,0.02908,0.02649,0.1407,5.97,1.0
0.5435,0.04407,0.04916,0.02243,0.04324,0.8887,4.6,1.0
0.4976,0.02338,0.02484,0.00672,0.02686,0.3972,1.923,1.0
0.4253,0.04697,0.01782,0.03912,0.0444,0.9653,7.797,1.0
0.8877,0.04572,0.02972,0.0413,0.008026,0.4858,1.607,1.0
1.381,0.00679,0.03024,0.04242,0.00904,0.1145,3.953,1.0
0.7285,0.0114,0.03827,0.02821,0.0273,0.5767,3.764,1.0
0.6284,0.04373,0.03876,0.01979,0.04755,0.1663,8.96,1.0
1.017,0.01361,0.00576,0.02496,0.00756,0.5137,4.137,1.0
0.5884,0.02263,0.04807,0.03555,0.04172,0.3696,5.45,1.0
1.087,0.02563,0.03574,0.0181,0.02213,0.3137,5.39,1.0
0.2988,0.0304,0.03436,0.02905,0.0398,0.4602,1.43,1.0
1.372,0.04333,0.04852,0.04135,0.009056,0.2798,4.453,1.0
0.576,0.01488,0.02574,0.04617,0.03336,0.427,3.863,1.0
0.9834,0.01099,0.009254,0.01083,0.013306,0.2183,6.613,1.0
0.551,0.04352,0.01119,0.01259,0.03806,0.1539,10.0,1.0
0.7227,0.01826,0.04584,0.0204,0.0393,0.592,7.688,1.0
0.5474,0.03964,0.03928,0.04614,0.0397,0.4446,4.5,1.0
0.623,0.01744,0.043,0.03796,0.04556,0.5996,8.39,1.0
0.414,0.0479,0.013016,0.014496,0.02823,0.7666,1.6,1.0
1.533,0.02719,0.04587,0.02094,0.01381,0.6104,6.12,1.0
0.988,0.0328,0.01712,0.02043,0.01776,0.4648,6.3,1.0
0.4653,0.03766,0.02818,0.01315,0.0349,0.516,2.584,1.0
1.269,0.02344,0.04648,0.03735,0.0111,0.535,3.16,1.0
0.4219,0.02597,0.03375,0.048,0.03302,0.4446,1.699,1.0
0.9126,0.04025,0.01267,0.0466,0.00839,0.528,3.475,1.0
0.7827,0.02835,0.04483,0.02934,0.03293,0.6704,8.99,1.0
1.374,0.0385,0.03967,0.01654,0.015175,0.2181,4.227,1.0
1.621,0.04156,0.04364,0.02953,0.009384,0.1742,6.84,1.0
1.427,0.01015,0.03029,0.00829,0.01935,0.6987,7.555,1.0
0.2465,0.02103,0.01802,0.02069,0.0344,0.4783,0.7886,1.0
1.237,0.01185,0.0494,0.03503,0.02057,0.263,9.63,1.0
1.543,0.01096,0.02266,0.0284,0.010185,0.343,6.03,1.0
0.5547,0.03986,0.013435,0.02191,0.03238,0.798,7.105,1.0
0.5166,0.02466,0.01694,0.009926,0.04388,0.7046,4.406,1.0
1.667,0.0271,0.04773,0.00729,0.01736,0.548,9.79,1.0
1.668,0.02461,0.02339,0.01529,0.009224,0.88,7.82,1.0
1.493,0.02472,0.0436,0.02469,0.01566,0.1251,8.87,1.0
0.683,0.012825,0.0417,0.04684,0.0353,0.6787,6.785,1.0
0.4768,0.01457,0.0345,0.04044,0.04752,0.825,4.2,1.0
0.8,0.00725,0.04178,0.02414,0.03598,0.7207,9.86,1.0
0.7646,0.02159,0.01715,0.01302,0.02502,0.597,6.375,1.0
0.6323,0.03946,0.005627,0.03119,0.0275,0.8516,4.1,1.0
0.645,0.03394,0.02454,0.04486,0.01557,0.5186,1.385,1.0
0.57,0.02701,0.00675,0.04257,0.0476,0.00945,7.066,1.0
0.2444,0.01237,0.0481,0.01195,0.03635,0.6206,1.231,1.0
0.456,0.04712,0.02754,0.0307,0.04654,0.577,4.57,1.0
0.285,0.04495,0.01569,0.02669,0.04175,0.3604,2.008,1.0
0.568,0.03568,0.03677,0.04077,0.04785,0.4294,8.31,1.0
1.507,0.03857,0.0367,0.04047,0.00948,0.777,6.445,1.0
1.231,0.03363,0.01923,0.02837,0.01291,0.1119,6.453,1.0
0.731,0.0486,0.02588,0.02249,0.0318,0.1691,9.79,1.0
0.5205,0.01474,0.01067,0.02434,0.03455,0.5737,8.57,1.0
0.75,0.01493,0.03476,0.03918,0.02827,0.05414,5.992,1.0
0.4297,0.02654,0.042,0.03302,0.02293,0.273,1.275,1.0
1.397,0.0371,0.03906,0.04904,0.00741,0.764,5.973,1.0
1.171,0.04758,0.04047,0.01645,0.02145,0.1517,6.18,1.0
1.755,0.0348,0.048,0.00685,0.011856,0.9253,5.957,1.0
0.2866,0.02136,0.02194,0.0356,0.033,0.337,0.888,1.0
0.43,0.011765,0.03146,0.019,0.0384,0.255,2.285,1.0
0.5547,0.03214,0.04575,0.0322,0.02397,0.1251,1.937,1.0
0.8164,0.04648,0.0358,0.04877,0.01894,0.8667,3.445,1.0
1.763,0.014915,0.02676,0.007576,0.00857,0.1472,8.805,1.0
0.659,0.02022,0.02448,0.02026,0.04276,0.076,9.43,1.0
0.8716,0.0384,0.02658,0.01938,0.02663,0.6113,8.98,1.0
0.523,0.03925,0.014244,0.01665,0.03998,0.9307,7.855,1.0
1.72,0.02844,0.0243,0.007996,0.00966,0.3896,8.48,1.0
1.369,0.00774,0.01646,0.0323,0.00855,0.01029,2.91,1.0
1.363,0.00949,0.01455,0.04156,0.00802,0.03111,7.164,1.0
0.672,0.02995,0.0246,0.0474,0.03406,0.274,8.805,1.0
0.3074,0.01839,0.01892,0.03238,0.046,0.4775,2.424,1.0
1.255,0.02792,0.02908,0.03925,0.009834,0.817,3.045,1.0
0.752,0.02454,0.04413,0.01024,0.0468,0.003883,6.207,1.0
1.3125,0.00607,0.02237,0.01712,0.006382,0.03873,2.465,1.0
1.147,0.04062,0.01605,0.01052,0.013565,0.737,3.65,1.0
0.8745,0.01487,0.03125,0.011314,0.03186,0.8394,8.81,1.0
0.736,0.02853,0.00571,0.04626,0.0165,0.4238,0.974,1.0
0.8286,0.03117,0.02887,0.0437,0.01145,0.83,1.39,1.0
0.3638,0.02153,0.010056,0.0333,0.03745,0.1981,2.637,1.0
0.6494,0.0467,0.04828,0.01955,0.04782,0.3376,9.836,1.0
0.69,0.02803,0.007435,0.012054,0.02402,0.1152,5.098,1.0
1.517,0.0218,0.04416,0.01176,0.01593,0.3232,5.207,0.0
0.6587,0.04114,0.02884,0.037,0.02371,0.1685,3.217,1.0
1.37,0.0145,0.03275,0.01677,0.01459,0.5913,3.602,2.0
1.005,0.0144,0.02281,0.01904,0.0214,0.4607,6.29,3.0
1.107,0.0491,0.04694,0.0321,0.01663,0.156,4.062,4.0
1.273,0.01097,0.02509,0.01712,0.014755,0.551,3.232,5.0
0.539,0.005844,0.03035,0.03842,0.04883,0.006767,4.516,6.0
1.302,0.01935,0.02142,0.01807,0.01599,0.2085,7.11,7.0
1.063,0.02863,0.03217,0.02664,0.01904,0.2751,4.504,8.0
1.23,0.01823,0.02979,0.02078,0.01839,0.4019,5.848,9.0
1.307,0.0202,0.03534,0.02681,0.01749,0.2708,7.19,10.0
1.293,0.02243,0.035,0.0222,0.01683,0.3335,5.152,11.0
1.299,0.0318,0.0467,0.03586,0.008316,0.6387,3.197,12.0
